"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000004478.8",5140.84181991053,0.297720102538293,0.277044370185956,1.07462967877116,0.282540558798989,0.623090381242551
"ENSG00000004487.17",4880.85491898103,-0.135961915270712,0.144834635076709,-0.938738963913581,0.347864783145098,0.681708667505115
"ENSG00000004534.15",16958.6309813836,-0.123035009285268,0.166772223276846,-0.737742813927876,0.460670749777388,0.763240773378979
"ENSG00000004660.15",465.007921130113,-1.10046405101878,0.256410332261051,-4.29180852937859,1.77223738508558e-05,0.00215523795494096
"ENSG00000004700.16",1356.16601607437,0.182289024945534,0.168745084010101,1.08026272892562,0.280025201746798,0.620550849323373
"ENSG00000004766.17",2893.49968654386,-0.107052482261915,0.10022794693758,-1.06809014384566,0.28547985137382,0.625787365760221
"ENSG00000004776.13",52.6835073162307,0.270449233115276,0.600048373558905,0.450712384255345,0.652196855481047,0.867700627845363
"ENSG00000004777.18",1427.92674886586,0.212282838677901,0.277473222206657,0.765057027808602,0.444237587002057,0.752526581481051
"ENSG00000004779.10",668.737590302816,-0.0772305788229612,0.240933700038991,-0.320547016919853,0.748553694643263,0.912195647339244
"ENSG00000004799.8",2193.26234961529,0.191263579731346,0.462854758558746,0.413225912005116,0.679441105154701,0.880179879895788
"ENSG00000004809.14",9.1979443444755,-0.132104992123225,0.493220390811416,-0.267841708462,0.788821164539909,0.927337035665749
"ENSG00000004838.14",112.961286367845,0.373857319753212,0.402311789342374,0.929272593190287,0.35274783482172,0.685736952023802
"ENSG00000004846.16",148.446827182137,2.99061536136439,0.688577500069835,4.34317903367607,1.40435595790269e-05,0.00184723241136725
"ENSG00000004848.8",112.567145999422,-4.43498849424832,0.967104318805986,-4.5858429209828,4.5215846298824e-06,0.000747568658807224
"ENSG00000004864.14",2894.97068368788,-0.234857743984471,0.154629261330362,-1.51884411762599,0.128801738001951,0.438637073144108
"ENSG00000004866.22",1093.58800032724,0.24859552229733,0.153967390559222,1.61459852891195,0.106397664229598,0.399545045737897
"ENSG00000004897.12",2649.67939902885,0.202249840775143,0.197786240676107,1.02256779887103,0.306512241194461,0.645620051168515
